Category,Upper Tier Local Authority,Region,Total,Total reached,Percentage reached,Start date,End date
Contacts identified who were not managed by local health protection teams,Warwickshire,West Midlands,31831,22666,71,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,West Berkshire,South East,5730,4502,79,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,West Sussex,South East,26167,19878,76,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,Westminster,London,9703,7100,73,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,Wigan,North West,35206,22986,65,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,Wiltshire,South West,13338,9730,73,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,Windsor and Maidenhead,South East,7246,5318,73,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,Wirral,North West,19930,12881,65,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,Wokingham,South East,7816,6021,77,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,Wolverhampton,West Midlands,20895,14459,69,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,Worcestershire,West Midlands,26725,18486,69,28/05/2020,23/12/2020
Contacts identified who were not managed by local health protection teams,York,Yorkshire and The Humber,14438,9142,63,28/05/2020,23/12/2020
